Size = 0, freq = 0, total vertices = 0
Size = 1379, freq = 0, total vertices = 0
Size = 1380, freq = 0, total vertices = 0
Size = 1381, freq = 0, total vertices = 0
Size = 1382, freq = 0, total vertices = 0
Size = 1383, freq = 0, total vertices = 0
Size = 1384, freq = 0, total vertices = 0
Size = 1385, freq = 0, total vertices = 0
Size = 1386, freq = 0, total vertices = 0
Size = 1387, freq = 0, total vertices = 0
Size = 1388, freq = 0, total vertices = 0
Size = 1389, freq = 0, total vertices = 0
Size = 1390, freq = 0, total vertices = 0
Size = 1391, freq = 0, total vertices = 0
Size = 1392, freq = 0, total vertices = 0
Size = 1393, freq = 0, total vertices = 0
Size = 1394, freq = 0, total vertices = 0
Size = 1395, freq = 0, total vertices = 0
Size = 1396, freq = 0, total vertices = 0
Size = 1397, freq = 0, total vertices = 0
Size = 1398, freq = 0, total vertices = 0
Size = 1399, freq = 0, total vertices = 0
Size = 1400, freq = 0, total vertices = 0
Size = 1401, freq = 0, total vertices = 0
Size = 1402, freq = 0, total vertices = 0
Size = 1403, freq = 0, total vertices = 0
Size = 1404, freq = 0, total vertices = 0
Size = 1405, freq = 0, total vertices = 0
Size = 1406, freq = 0, total vertices = 0
Size = 1407, freq = 0, total vertices = 0
Size = 1408, freq = 0, total vertices = 0
Size = 1409, freq = 0, total vertices = 0
Size = 1410, freq = 0, total vertices = 0
Size = 1411, freq = 0, total vertices = 0
Size = 1412, freq = 0, total vertices = 0
Size = 1413, freq = 0, total vertices = 0
Size = 1414, freq = 0, total vertices = 0
Size = 1415, freq = 0, total vertices = 0
Size = 1416, freq = 0, total vertices = 0
Size = 1417, freq = 0, total vertices = 0
Size = 1418, freq = 0, total vertices = 0
Size = 1419, freq = 0, total vertices = 0
Size = 1420, freq = 0, total vertices = 0
Size = 1421, freq = 0, total vertices = 0
Size = 1422, freq = 0, total vertices = 0
Size = 1423, freq = 0, total vertices = 0
Size = 1424, freq = 0, total vertices = 0
Size = 1425, freq = 0, total vertices = 0
Size = 1426, freq = 0, total vertices = 0
Size = 1427, freq = 0, total vertices = 0
Size = 1428, freq = 0, total vertices = 0
Size = 1429, freq = 0, total vertices = 0
Size = 1430, freq = 0, total vertices = 0
Size = 1431, freq = 0, total vertices = 0
Size = 1432, freq = 0, total vertices = 0
Size = 1433, freq = 0, total vertices = 0
Size = 1434, freq = 0, total vertices = 0
Size = 1435, freq = 0, total vertices = 0
Size = 1436, freq = 0, total vertices = 0
Size = 1437, freq = 0, total vertices = 0
Size = 1438, freq = 0, total vertices = 0
Size = 1439, freq = 0, total vertices = 0
Size = 1440, freq = 0, total vertices = 0
Size = 1441, freq = 0, total vertices = 0
Size = 1442, freq = 0, total vertices = 0
Size = 1443, freq = 0, total vertices = 0
Size = 1444, freq = 0, total vertices = 0
Size = 1445, freq = 0, total vertices = 0
Size = 1446, freq = 0, total vertices = 0
Size = 1447, freq = 0, total vertices = 0
Size = 1448, freq = 0, total vertices = 0
Size = 1449, freq = 0, total vertices = 0
Size = 1450, freq = 0, total vertices = 0
Size = 1451, freq = 0, total vertices = 0
Size = 1452, freq = 0, total vertices = 0
Size = 1453, freq = 0, total vertices = 0
Size = 1454, freq = 0, total vertices = 0
Size = 1455, freq = 0, total vertices = 0
Size = 1456, freq = 0, total vertices = 0
Size = 1457, freq = 0, total vertices = 0
Size = 1458, freq = 0, total vertices = 0
Size = 1459, freq = 0, total vertices = 0
Size = 1460, freq = 0, total vertices = 0
Size = 1461, freq = 0, total vertices = 0
Size = 1462, freq = 0, total vertices = 0
Size = 1463, freq = 0, total vertices = 0
Size = 1464, freq = 0, total vertices = 0
Size = 1465, freq = 0, total vertices = 0
Size = 1466, freq = 0, total vertices = 0
Size = 1467, freq = 0, total vertices = 0
Size = 1468, freq = 0, total vertices = 0
Size = 1469, freq = 0, total vertices = 0
Size = 1470, freq = 0, total vertices = 0
Size = 1471, freq = 0, total vertices = 0
Size = 1472, freq = 0, total vertices = 0
Size = 1473, freq = 0, total vertices = 0
Size = 1474, freq = 0, total vertices = 0
Size = 1475, freq = 0, total vertices = 0
Size = 1476, freq = 0, total vertices = 0
Size = 1477, freq = 0, total vertices = 0
Size = 1478, freq = 0, total vertices = 0
Size = 1479, freq = 0, total vertices = 0
Size = 1480, freq = 0, total vertices = 0
Size = 1481, freq = 0, total vertices = 0
Size = 1482, freq = 0, total vertices = 0
Size = 1483, freq = 0, total vertices = 0
Size = 1484, freq = 0, total vertices = 0
Size = 1485, freq = 0, total vertices = 0
Size = 1486, freq = 0, total vertices = 0
Size = 1487, freq = 0, total vertices = 0
Size = 1488, freq = 0, total vertices = 0
Size = 1489, freq = 0, total vertices = 0
Size = 1490, freq = 0, total vertices = 0
Size = 1491, freq = 0, total vertices = 0
Size = 1492, freq = 0, total vertices = 0
Size = 1493, freq = 0, total vertices = 0
Size = 1494, freq = 0, total vertices = 0
Size = 1495, freq = 0, total vertices = 0
Size = 1496, freq = 0, total vertices = 0
Size = 1497, freq = 0, total vertices = 0
Size = 1498, freq = 0, total vertices = 0
Size = 1499, freq = 0, total vertices = 0
Size = 1500, freq = 0, total vertices = 0
Size = 1501, freq = 0, total vertices = 0
Size = 1502, freq = 0, total vertices = 0
Size = 1503, freq = 0, total vertices = 0
Size = 1504, freq = 0, total vertices = 0
Size = 1505, freq = 0, total vertices = 0
Size = 1506, freq = 0, total vertices = 0
Size = 1507, freq = 0, total vertices = 0
Size = 1508, freq = 0, total vertices = 0
Size = 1509, freq = 0, total vertices = 0
Size = 1510, freq = 0, total vertices = 0
Size = 1511, freq = 0, total vertices = 0
Size = 1512, freq = 0, total vertices = 0
Size = 1513, freq = 0, total vertices = 0
Size = 1514, freq = 0, total vertices = 0
Size = 1515, freq = 0, total vertices = 0
Size = 1516, freq = 0, total vertices = 0
Size = 1517, freq = 0, total vertices = 0
Size = 1518, freq = 0, total vertices = 0
Size = 1519, freq = 0, total vertices = 0
Size = 1520, freq = 0, total vertices = 0
Size = 1521, freq = 0, total vertices = 0
Size = 1522, freq = 0, total vertices = 0
Size = 1523, freq = 0, total vertices = 0
Size = 1524, freq = 0, total vertices = 0
Size = 1525, freq = 0, total vertices = 0
Size = 1526, freq = 0, total vertices = 0
Size = 1527, freq = 0, total vertices = 0
Size = 1528, freq = 0, total vertices = 0
Size = 1529, freq = 0, total vertices = 0
Size = 1530, freq = 0, total vertices = 0
Size = 1531, freq = 0, total vertices = 0
Size = 1532, freq = 0, total vertices = 0
Size = 1533, freq = 0, total vertices = 0
Size = 1534, freq = 0, total vertices = 0
Size = 1535, freq = 0, total vertices = 0
Size = 1536, freq = 0, total vertices = 0
Size = 1537, freq = 0, total vertices = 0
Size = 1538, freq = 0, total vertices = 0
Size = 1539, freq = 0, total vertices = 0
Size = 1540, freq = 0, total vertices = 0
Size = 1541, freq = 0, total vertices = 0
Size = 1542, freq = 0, total vertices = 0
Size = 1543, freq = 0, total vertices = 0
Size = 1544, freq = 0, total vertices = 0
Size = 1545, freq = 0, total vertices = 0
Size = 1546, freq = 0, total vertices = 0
Size = 1547, freq = 0, total vertices = 0
Size = 1548, freq = 0, total vertices = 0
Size = 1549, freq = 0, total vertices = 0
Size = 1550, freq = 0, total vertices = 0
Size = 1551, freq = 0, total vertices = 0
Size = 1552, freq = 0, total vertices = 0
Size = 1553, freq = 0, total vertices = 0
Size = 1554, freq = 0, total vertices = 0
Size = 1555, freq = 0, total vertices = 0
Size = 1556, freq = 0, total vertices = 0
Size = 1557, freq = 0, total vertices = 0
Size = 1558, freq = 0, total vertices = 0
Size = 1559, freq = 0, total vertices = 0
Size = 1560, freq = 0, total vertices = 0
Size = 1561, freq = 0, total vertices = 0
Size = 1562, freq = 0, total vertices = 0
Size = 1563, freq = 0, total vertices = 0
Size = 1564, freq = 0, total vertices = 0
Size = 1565, freq = 0, total vertices = 0
Size = 1566, freq = 0, total vertices = 0
Size = 1567, freq = 0, total vertices = 0
Size = 1568, freq = 0, total vertices = 0
Size = 1569, freq = 0, total vertices = 0
Size = 1570, freq = 0, total vertices = 0
Size = 1571, freq = 0, total vertices = 0
Size = 1572, freq = 0, total vertices = 0
Size = 1573, freq = 0, total vertices = 0
Size = 1574, freq = 0, total vertices = 0
Size = 1575, freq = 0, total vertices = 0
Size = 1576, freq = 0, total vertices = 0
Size = 1577, freq = 0, total vertices = 0
Size = 1578, freq = 0, total vertices = 0
Size = 1579, freq = 0, total vertices = 0
Size = 1580, freq = 0, total vertices = 0
Size = 1581, freq = 0, total vertices = 0
Size = 1582, freq = 0, total vertices = 0
Size = 1583, freq = 0, total vertices = 0
Size = 1584, freq = 0, total vertices = 0
Size = 1585, freq = 0, total vertices = 0
Size = 1586, freq = 0, total vertices = 0
Size = 1587, freq = 0, total vertices = 0
Size = 1588, freq = 0, total vertices = 0
Size = 1589, freq = 0, total vertices = 0
Size = 1590, freq = 0, total vertices = 0
Size = 1591, freq = 0, total vertices = 0
Size = 1592, freq = 0, total vertices = 0
Size = 1593, freq = 0, total vertices = 0
Size = 1594, freq = 0, total vertices = 0
Size = 1595, freq = 0, total vertices = 0
Size = 1596, freq = 0, total vertices = 0
Size = 1597, freq = 0, total vertices = 0
Size = 1598, freq = 0, total vertices = 0
Size = 1599, freq = 0, total vertices = 0
Size = 1600, freq = 0, total vertices = 0
Size = 1601, freq = 0, total vertices = 0
Size = 1602, freq = 0, total vertices = 0
Size = 1603, freq = 0, total vertices = 0
Size = 1604, freq = 0, total vertices = 0
Size = 1605, freq = 0, total vertices = 0
Size = 1606, freq = 0, total vertices = 0
Size = 1607, freq = 0, total vertices = 0
Size = 1608, freq = 0, total vertices = 0
Size = 1609, freq = 0, total vertices = 0
Size = 1610, freq = 0, total vertices = 0
Size = 1611, freq = 0, total vertices = 0
Size = 1612, freq = 0, total vertices = 0
Size = 1613, freq = 0, total vertices = 0
Size = 1614, freq = 0, total vertices = 0
Size = 1615, freq = 0, total vertices = 0
Size = 1616, freq = 0, total vertices = 0
Size = 1617, freq = 0, total vertices = 0
Size = 1618, freq = 0, total vertices = 0
Size = 1619, freq = 0, total vertices = 0
Size = 1620, freq = 0, total vertices = 0
Size = 1621, freq = 0, total vertices = 0
Size = 1622, freq = 0, total vertices = 0
Size = 1623, freq = 0, total vertices = 0
Size = 1624, freq = 0, total vertices = 0
Size = 1625, freq = 0, total vertices = 0
Size = 1626, freq = 0, total vertices = 0
Size = 1627, freq = 0, total vertices = 0
Size = 1628, freq = 0, total vertices = 0
Size = 1629, freq = 0, total vertices = 0
Size = 1630, freq = 0, total vertices = 0
Size = 1631, freq = 0, total vertices = 0
Size = 1632, freq = 0, total vertices = 0
Size = 1633, freq = 0, total vertices = 0
Size = 1634, freq = 0, total vertices = 0
Size = 1635, freq = 0, total vertices = 0
Size = 1636, freq = 0, total vertices = 0
Size = 1637, freq = 0, total vertices = 0
Size = 1638, freq = 0, total vertices = 0
Size = 1639, freq = 0, total vertices = 0
Size = 1640, freq = 0, total vertices = 0
Size = 1641, freq = 0, total vertices = 0
Size = 1642, freq = 0, total vertices = 0
Size = 1643, freq = 0, total vertices = 0
Size = 1644, freq = 0, total vertices = 0
Size = 1645, freq = 0, total vertices = 0
Size = 1646, freq = 0, total vertices = 0
Size = 1647, freq = 0, total vertices = 0
Size = 1648, freq = 0, total vertices = 0
Size = 1649, freq = 0, total vertices = 0
Size = 1650, freq = 0, total vertices = 0
Size = 1651, freq = 0, total vertices = 0
Size = 1652, freq = 0, total vertices = 0
Size = 1653, freq = 0, total vertices = 0
Size = 1654, freq = 0, total vertices = 0
Size = 1655, freq = 0, total vertices = 0
Size = 1656, freq = 0, total vertices = 0
Size = 1657, freq = 0, total vertices = 0
Size = 1658, freq = 0, total vertices = 0
Size = 1659, freq = 0, total vertices = 0
Size = 1660, freq = 0, total vertices = 0
Size = 1661, freq = 0, total vertices = 0
Size = 1662, freq = 0, total vertices = 0
Size = 1663, freq = 0, total vertices = 0
Size = 1664, freq = 0, total vertices = 0
Size = 1665, freq = 0, total vertices = 0
Size = 1666, freq = 0, total vertices = 0
Size = 1667, freq = 0, total vertices = 0
Size = 1668, freq = 0, total vertices = 0
Size = 1669, freq = 0, total vertices = 0
Size = 1670, freq = 0, total vertices = 0
Size = 1671, freq = 0, total vertices = 0
Size = 1672, freq = 0, total vertices = 0
Size = 1673, freq = 0, total vertices = 0
Size = 1674, freq = 0, total vertices = 0
Size = 1675, freq = 0, total vertices = 0
Size = 1676, freq = 0, total vertices = 0
Size = 1677, freq = 0, total vertices = 0
Size = 1678, freq = 0, total vertices = 0
Size = 1679, freq = 0, total vertices = 0
Size = 1680, freq = 0, total vertices = 0
Size = 1681, freq = 0, total vertices = 0
Size = 1682, freq = 0, total vertices = 0
Size = 1683, freq = 0, total vertices = 0
Size = 1684, freq = 0, total vertices = 0
Size = 1685, freq = 0, total vertices = 0
Size = 1686, freq = 0, total vertices = 0
Size = 1687, freq = 0, total vertices = 0
Size = 1688, freq = 0, total vertices = 0
Size = 1689, freq = 0, total vertices = 0
Size = 1690, freq = 0, total vertices = 0
Size = 1691, freq = 0, total vertices = 0
Size = 1692, freq = 0, total vertices = 0
Size = 1693, freq = 0, total vertices = 0
Size = 1694, freq = 0, total vertices = 0
Size = 1695, freq = 0, total vertices = 0
Size = 1696, freq = 0, total vertices = 0
Size = 1697, freq = 0, total vertices = 0
Size = 1698, freq = 0, total vertices = 0
Size = 1699, freq = 0, total vertices = 0
Size = 1700, freq = 0, total vertices = 0
Size = 1701, freq = 0, total vertices = 0
Size = 1702, freq = 0, total vertices = 0
Size = 1703, freq = 0, total vertices = 0
Size = 1704, freq = 0, total vertices = 0
Size = 1705, freq = 0, total vertices = 0
Size = 1706, freq = 0, total vertices = 0
Size = 1707, freq = 0, total vertices = 0
Size = 1708, freq = 0, total vertices = 0
Size = 1709, freq = 0, total vertices = 0
Size = 1710, freq = 0, total vertices = 0
Size = 1711, freq = 0, total vertices = 0
Size = 1712, freq = 0, total vertices = 0
Size = 1713, freq = 0, total vertices = 0
Size = 1714, freq = 0, total vertices = 0
Size = 1715, freq = 0, total vertices = 0
Size = 1716, freq = 0, total vertices = 0
Size = 1717, freq = 0, total vertices = 0
Size = 1718, freq = 0, total vertices = 0
Size = 1719, freq = 0, total vertices = 0
Size = 1720, freq = 0, total vertices = 0
Size = 1721, freq = 0, total vertices = 0
Size = 1722, freq = 0, total vertices = 0
Size = 1723, freq = 0, total vertices = 0
Size = 1724, freq = 0, total vertices = 0
Size = 1725, freq = 0, total vertices = 0
Size = 1726, freq = 0, total vertices = 0
Size = 1727, freq = 0, total vertices = 0
Size = 1728, freq = 0, total vertices = 0
Size = 1729, freq = 0, total vertices = 0
Size = 1730, freq = 0, total vertices = 0
Size = 1731, freq = 0, total vertices = 0
Size = 1732, freq = 0, total vertices = 0
Size = 1733, freq = 0, total vertices = 0
Size = 1734, freq = 0, total vertices = 0
Size = 1735, freq = 0, total vertices = 0
Size = 1736, freq = 0, total vertices = 0
Size = 1737, freq = 0, total vertices = 0
Size = 1738, freq = 0, total vertices = 0
Size = 1739, freq = 0, total vertices = 0
Size = 1740, freq = 0, total vertices = 0
Size = 1741, freq = 0, total vertices = 0
Size = 1742, freq = 0, total vertices = 0
Size = 1743, freq = 0, total vertices = 0
Size = 1744, freq = 0, total vertices = 0
Size = 1745, freq = 0, total vertices = 0
Size = 1746, freq = 0, total vertices = 0
Size = 1747, freq = 0, total vertices = 0
Size = 1748, freq = 0, total vertices = 0
Size = 1749, freq = 0, total vertices = 0
Size = 1750, freq = 0, total vertices = 0
Size = 1751, freq = 0, total vertices = 0
Size = 1752, freq = 0, total vertices = 0
Size = 1753, freq = 0, total vertices = 0
Size = 1754, freq = 0, total vertices = 0
Size = 1755, freq = 0, total vertices = 0
Size = 1756, freq = 0, total vertices = 0
Size = 1757, freq = 0, total vertices = 0
Size = 1758, freq = 0, total vertices = 0
Size = 1759, freq = 0, total vertices = 0
Size = 1760, freq = 0, total vertices = 0
Size = 1761, freq = 0, total vertices = 0
Size = 1762, freq = 0, total vertices = 0
Size = 1763, freq = 0, total vertices = 0
Size = 1764, freq = 0, total vertices = 0
Size = 1765, freq = 0, total vertices = 0
Size = 1766, freq = 0, total vertices = 0
Size = 1767, freq = 0, total vertices = 0
Size = 1768, freq = 0, total vertices = 0
Size = 1769, freq = 0, total vertices = 0
Size = 1770, freq = 0, total vertices = 0
Size = 1771, freq = 0, total vertices = 0
Size = 1772, freq = 0, total vertices = 0
Size = 1773, freq = 0, total vertices = 0
Size = 1774, freq = 0, total vertices = 0
Size = 1775, freq = 0, total vertices = 0
Size = 1776, freq = 0, total vertices = 0
Size = 1777, freq = 0, total vertices = 0
Size = 1778, freq = 0, total vertices = 0
Size = 1779, freq = 0, total vertices = 0
Size = 1780, freq = 0, total vertices = 0
Size = 1781, freq = 0, total vertices = 0
Size = 1782, freq = 0, total vertices = 0
Size = 1783, freq = 0, total vertices = 0
Size = 1784, freq = 0, total vertices = 0
Size = 1785, freq = 0, total vertices = 0
Size = 1786, freq = 0, total vertices = 0
Size = 1787, freq = 0, total vertices = 0
Size = 1788, freq = 0, total vertices = 0
Size = 1789, freq = 0, total vertices = 0
Size = 1790, freq = 0, total vertices = 0
Size = 1791, freq = 0, total vertices = 0
Size = 1792, freq = 0, total vertices = 0
Size = 1793, freq = 0, total vertices = 0
Size = 1794, freq = 0, total vertices = 0
Size = 1795, freq = 0, total vertices = 0
Size = 1796, freq = 0, total vertices = 0
Size = 1797, freq = 0, total vertices = 0
Size = 1798, freq = 0, total vertices = 0
Size = 1799, freq = 0, total vertices = 0
Size = 1800, freq = 0, total vertices = 0
Size = 1801, freq = 0, total vertices = 0
Size = 1802, freq = 0, total vertices = 0
Size = 1803, freq = 0, total vertices = 0
Size = 1804, freq = 0, total vertices = 0
Size = 1805, freq = 0, total vertices = 0
Size = 1806, freq = 0, total vertices = 0
Size = 1807, freq = 0, total vertices = 0
Size = 1808, freq = 0, total vertices = 0
Size = 1809, freq = 0, total vertices = 0
Size = 1810, freq = 0, total vertices = 0
Size = 1811, freq = 0, total vertices = 0
Size = 1812, freq = 0, total vertices = 0
Size = 1813, freq = 0, total vertices = 0
Size = 1814, freq = 0, total vertices = 0
Size = 1815, freq = 0, total vertices = 0
Size = 1816, freq = 0, total vertices = 0
Size = 1817, freq = 0, total vertices = 0
Size = 1818, freq = 0, total vertices = 0
Size = 1819, freq = 0, total vertices = 0
Size = 1820, freq = 0, total vertices = 0
Size = 1821, freq = 0, total vertices = 0
Size = 1822, freq = 0, total vertices = 0
Size = 1823, freq = 0, total vertices = 0
Size = 1824, freq = 0, total vertices = 0
Size = 1825, freq = 0, total vertices = 0
Size = 1826, freq = 0, total vertices = 0
Size = 1827, freq = 0, total vertices = 0
Size = 1828, freq = 0, total vertices = 0
Size = 1829, freq = 0, total vertices = 0
Size = 1830, freq = 0, total vertices = 0
Size = 1831, freq = 0, total vertices = 0
Size = 1832, freq = 0, total vertices = 0
Size = 1833, freq = 0, total vertices = 0
Size = 1834, freq = 0, total vertices = 0
Size = 1835, freq = 0, total vertices = 0
Size = 1836, freq = 0, total vertices = 0
Size = 1837, freq = 0, total vertices = 0
Size = 1838, freq = 0, total vertices = 0
Size = 1839, freq = 0, total vertices = 0
Size = 1840, freq = 0, total vertices = 0
Size = 1841, freq = 0, total vertices = 0
Size = 1842, freq = 0, total vertices = 0
Size = 1843, freq = 0, total vertices = 0
Size = 1844, freq = 0, total vertices = 0
Size = 1845, freq = 0, total vertices = 0
Size = 1846, freq = 0, total vertices = 0
Size = 1847, freq = 0, total vertices = 0
Size = 1848, freq = 0, total vertices = 0
Size = 1849, freq = 0, total vertices = 0
Size = 1850, freq = 0, total vertices = 0
Size = 1851, freq = 0, total vertices = 0
Size = 1852, freq = 0, total vertices = 0
Size = 1853, freq = 0, total vertices = 0
Size = 1854, freq = 0, total vertices = 0
Size = 1855, freq = 0, total vertices = 0
Size = 1856, freq = 0, total vertices = 0
Size = 1857, freq = 0, total vertices = 0
Size = 1858, freq = 0, total vertices = 0
Size = 1859, freq = 0, total vertices = 0
Size = 1860, freq = 0, total vertices = 0
Size = 1861, freq = 0, total vertices = 0
Size = 1862, freq = 0, total vertices = 0
Size = 1863, freq = 0, total vertices = 0
Size = 1864, freq = 0, total vertices = 0
Size = 1865, freq = 0, total vertices = 0
Size = 1866, freq = 0, total vertices = 0
Size = 1867, freq = 0, total vertices = 0
Size = 1868, freq = 0, total vertices = 0
Size = 1869, freq = 0, total vertices = 0
Size = 1870, freq = 0, total vertices = 0
Size = 1871, freq = 0, total vertices = 0
Size = 1872, freq = 0, total vertices = 0
Size = 1873, freq = 0, total vertices = 0
Size = 1874, freq = 0, total vertices = 0
Size = 1875, freq = 0, total vertices = 0
Size = 1876, freq = 0, total vertices = 0
Size = 1877, freq = 0, total vertices = 0
Size = 1878, freq = 0, total vertices = 0
Size = 1879, freq = 0, total vertices = 0
Size = 1880, freq = 0, total vertices = 0
Size = 1881, freq = 0, total vertices = 0
Size = 1882, freq = 0, total vertices = 0
Size = 1883, freq = 0, total vertices = 0
Size = 1884, freq = 0, total vertices = 0
Size = 1885, freq = 0, total vertices = 0
Size = 1886, freq = 0, total vertices = 0
Size = 1887, freq = 0, total vertices = 0
Size = 1888, freq = 0, total vertices = 0
Size = 1889, freq = 0, total vertices = 0
Size = 1890, freq = 0, total vertices = 0
Size = 1891, freq = 0, total vertices = 0
Size = 1892, freq = 0, total vertices = 0
Size = 1893, freq = 0, total vertices = 0
Size = 1894, freq = 0, total vertices = 0
Size = 1895, freq = 0, total vertices = 0
Size = 1896, freq = 0, total vertices = 0
Size = 1897, freq = 0, total vertices = 0
Size = 1898, freq = 0, total vertices = 0
Size = 1899, freq = 0, total vertices = 0
Size = 1900, freq = 0, total vertices = 0
Size = 1901, freq = 0, total vertices = 0
Size = 1902, freq = 0, total vertices = 0
Size = 1903, freq = 0, total vertices = 0
Size = 1904, freq = 0, total vertices = 0
Size = 1905, freq = 0, total vertices = 0
Size = 1906, freq = 0, total vertices = 0
Size = 1907, freq = 0, total vertices = 0
Size = 1908, freq = 0, total vertices = 0
Size = 1909, freq = 0, total vertices = 0
Size = 1910, freq = 0, total vertices = 0
Size = 1911, freq = 0, total vertices = 0
Size = 1912, freq = 0, total vertices = 0
Size = 1913, freq = 0, total vertices = 0
Size = 1914, freq = 0, total vertices = 0
Size = 1915, freq = 0, total vertices = 0
Size = 1916, freq = 0, total vertices = 0
Size = 1917, freq = 0, total vertices = 0
Size = 1918, freq = 0, total vertices = 0
Size = 1919, freq = 0, total vertices = 0
Size = 1920, freq = 0, total vertices = 0
Size = 1921, freq = 0, total vertices = 0
Size = 1922, freq = 0, total vertices = 0
Size = 1923, freq = 0, total vertices = 0
Size = 1924, freq = 0, total vertices = 0
Size = 1925, freq = 0, total vertices = 0
Size = 1926, freq = 0, total vertices = 0
Size = 1927, freq = 0, total vertices = 0
Size = 1928, freq = 0, total vertices = 0
Size = 1929, freq = 0, total vertices = 0
Size = 1930, freq = 0, total vertices = 0
Size = 1931, freq = 0, total vertices = 0
Size = 1932, freq = 0, total vertices = 0
Size = 1933, freq = 0, total vertices = 0
Size = 1934, freq = 0, total vertices = 0
Size = 1935, freq = 0, total vertices = 0
Size = 1936, freq = 0, total vertices = 0
Size = 1937, freq = 0, total vertices = 0
Size = 1938, freq = 0, total vertices = 0
Size = 1939, freq = 0, total vertices = 0
Size = 1940, freq = 0, total vertices = 0
Size = 1941, freq = 0, total vertices = 0
Size = 1942, freq = 0, total vertices = 0
Size = 1943, freq = 0, total vertices = 0
Size = 1944, freq = 0, total vertices = 0
Size = 1945, freq = 0, total vertices = 0
Size = 1946, freq = 0, total vertices = 0
Size = 1947, freq = 0, total vertices = 0
Size = 1948, freq = 0, total vertices = 0
Size = 1949, freq = 0, total vertices = 0
Size = 1950, freq = 0, total vertices = 0
Size = 1951, freq = 0, total vertices = 0
Size = 1952, freq = 0, total vertices = 0
Size = 1953, freq = 0, total vertices = 0
Size = 1954, freq = 0, total vertices = 0
Size = 1955, freq = 0, total vertices = 0
Size = 1956, freq = 0, total vertices = 0
Size = 1957, freq = 0, total vertices = 0
Size = 1958, freq = 0, total vertices = 0
Size = 1959, freq = 0, total vertices = 0
Size = 1960, freq = 0, total vertices = 0
Size = 1961, freq = 0, total vertices = 0
Size = 1962, freq = 0, total vertices = 0
Size = 1963, freq = 0, total vertices = 0
Size = 1964, freq = 0, total vertices = 0
Size = 1965, freq = 0, total vertices = 0
Size = 1966, freq = 0, total vertices = 0
Size = 1967, freq = 0, total vertices = 0
Size = 1968, freq = 0, total vertices = 0
Size = 1969, freq = 0, total vertices = 0
Size = 1970, freq = 0, total vertices = 0
Size = 1971, freq = 0, total vertices = 0
Size = 1972, freq = 0, total vertices = 0
Size = 1973, freq = 0, total vertices = 0
Size = 1974, freq = 0, total vertices = 0
Size = 1975, freq = 0, total vertices = 0
Size = 1976, freq = 0, total vertices = 0
Size = 1977, freq = 0, total vertices = 0
Size = 1978, freq = 0, total vertices = 0
Size = 1979, freq = 0, total vertices = 0
Size = 1980, freq = 0, total vertices = 0
Size = 1981, freq = 0, total vertices = 0
Size = 1982, freq = 0, total vertices = 0
Size = 1983, freq = 0, total vertices = 0
Size = 1984, freq = 0, total vertices = 0
Size = 1985, freq = 0, total vertices = 0
Size = 1986, freq = 0, total vertices = 0
Size = 1987, freq = 0, total vertices = 0
Size = 1988, freq = 0, total vertices = 0
Size = 1989, freq = 0, total vertices = 0
Size = 1990, freq = 0, total vertices = 0
Size = 1991, freq = 0, total vertices = 0
Size = 1992, freq = 0, total vertices = 0
Size = 1993, freq = 0, total vertices = 0
Size = 1994, freq = 0, total vertices = 0
Size = 1995, freq = 0, total vertices = 0
Size = 1996, freq = 0, total vertices = 0
Size = 1997, freq = 0, total vertices = 0
Size = 1998, freq = 0, total vertices = 0
Size = 1999, freq = 0, total vertices = 0
Size = 2000, freq = 0, total vertices = 0
Size = 2001, freq = 0, total vertices = 0
Size = 2002, freq = 0, total vertices = 0
Size = 2003, freq = 0, total vertices = 0
Size = 2004, freq = 0, total vertices = 0
Size = 2005, freq = 0, total vertices = 0
Size = 2006, freq = 0, total vertices = 0
Size = 2007, freq = 0, total vertices = 0
Size = 2008, freq = 0, total vertices = 0
Size = 2009, freq = 0, total vertices = 0
Size = 2010, freq = 0, total vertices = 0
Size = 2011, freq = 0, total vertices = 0
Size = 2012, freq = 0, total vertices = 0
Size = 2013, freq = 0, total vertices = 0
Size = 2014, freq = 0, total vertices = 0
Size = 2015, freq = 0, total vertices = 0
Size = 2016, freq = 0, total vertices = 0
Size = 2017, freq = 0, total vertices = 0
Size = 2018, freq = 0, total vertices = 0
Size = 2019, freq = 0, total vertices = 0
Size = 2020, freq = 0, total vertices = 0
Size = 2021, freq = 0, total vertices = 0
Size = 2022, freq = 0, total vertices = 0
Size = 2023, freq = 0, total vertices = 0
Size = 2024, freq = 0, total vertices = 0
Size = 2025, freq = 0, total vertices = 0
Size = 2026, freq = 0, total vertices = 0
Size = 2027, freq = 0, total vertices = 0
Size = 2028, freq = 0, total vertices = 0
Size = 2029, freq = 0, total vertices = 0
Size = 2030, freq = 0, total vertices = 0
Size = 2031, freq = 0, total vertices = 0
Size = 2032, freq = 0, total vertices = 0
Size = 2033, freq = 0, total vertices = 0
Size = 2034, freq = 0, total vertices = 0
Size = 2035, freq = 0, total vertices = 0
Size = 2036, freq = 0, total vertices = 0
Size = 2037, freq = 0, total vertices = 0
Size = 2038, freq = 0, total vertices = 0
Size = 2039, freq = 0, total vertices = 0
Size = 2040, freq = 0, total vertices = 0
Size = 2041, freq = 0, total vertices = 0
Size = 2042, freq = 0, total vertices = 0
Size = 2043, freq = 0, total vertices = 0
